Instance,Method,Average objective,Best objective,Improvement (%),Average running time (s),Best solution string
F_10,SA-new operators (equal weights),1600.6,1412.0,54.8,0.450,"0,5,8,4,2,10,0|7,1,6,-1,3,9|2,4,5,-1,2,4|3,5,6,-1,4,5"
F_20,SA-new operators (equal weights),4327.9,3663.0,64.1,0.605,"0,6,14,5,4,17,2,20,19,15,16,0|1,18,9,12,13,7,-1,3,11,10,8|2,3,4,6,8,10,-1,2,4,8,10|3,4,6,7,9,11,-1,4,7,9,11"
F_50,SA-new operators (equal weights),21007.5,17770.0,76.2,1.202,"0,40,25,21,50,7,46,4,47,17,29,32,2,41,11,24,9,8,5,30,15,23,39,37,48,49,22,36,0|20,13,26,42,12,10,44,45,18,35,27,28,16,34,6,19,-1,3,33,1,43,38,31,14|2,5,7,8,9,10,11,13,14,15,19,21,23,24,26,27,-1,3,7,10,11,14,19,22|5,7,8,9,10,11,12,14,15,16,21,23,24,25,27,28,-1,5,8,11,13,15,22,23"
F_100,SA-new operators (equal weights),85028.9,68496.0,73.7,1.942,"0,21,18,68,89,35,6,2,59,17,31,7,70,55,20,10,5,48,22,23,91,28,24,8,86,11,94,97,98,80,3,78,56,83,77,81,46,75,100,71,25,72,92,96,42,45,50,43,14,26,58,73,61,32,53,38,37,36,87,76,33,95,30,99,0|79,27,41,82,65,66,88,16,64,34,57,9,15,29,52,85,44,13,62,74,49,84,60,54,-1,47,4,93,63,90,1,39,12,51,40,19,67,69|3,4,5,6,8,10,13,15,17,19,20,22,26,27,31,37,39,46,49,54,56,58,59,61,-1,3,5,8,15,20,24,33,37,38,40,46,50,59|4,5,6,8,9,11,14,16,18,20,22,25,27,28,35,39,41,47,51,55,57,59,60,62,-1,4,8,9,16,23,27,36,38,39,41,48,52,60"
R_10,SA-new operators (equal weights),787.4,649.0,74.7,0.587,"0,2,9,8,5,0|10,6,-1,4,1,7,3|1,2,-1,2,3,4,5|2,6,-1,3,4,5,6"
R_20,SA-new operators (equal weights),3038.8,2481.0,73.0,0.652,"0,3,11,4,5,14,16,7,20,13,0|10,12,17,9,1,8,19,-1,2,18,6,15|1,2,3,4,5,6,9,-1,2,3,5,7|2,3,4,5,6,8,10,-1,3,5,6,8"
R_50,SA-new operators (equal weights),18432.4,15211.0,78.6,1.191,"0,28,39,1,10,43,12,9,17,42,47,20,50,21,3,27,15,5,44,29,48,14,23,36,19,41,38,33,24,35,2,0|31,37,26,40,30,6,34,49,22,18,13,4,-1,8,7,46,25,32,16,45,11|1,3,8,13,16,19,20,21,24,26,28,29,-1,4,9,10,14,19,21,26,29|3,6,11,15,17,20,21,24,25,27,29,30,-1,6,10,13,15,20,24,27,30"
R_100,SA-new operators (equal weights),75310.0,67988.0,75.1,2.134,"0,4,98,82,3,35,68,11,1,73,97,60,78,6,7,49,8,10,42,79,12,96,14,40,71,16,61,75,21,9,95,100,20,30,24,43,44,46,89,77,50,51,52,90,88,66,33,80,56,37,41,38,29,58,93,18,85,76,27,86,19,57,59,15,92,54,65,69,70,0|23,67,26,81,36,2,22,28,39,64,72,83,94,55,84,34,45,53,62,31,17,-1,13,47,25,91,32,99,87,48,74,5,63|1,4,5,6,9,10,11,17,29,34,36,37,38,41,42,47,49,51,52,64,67,-1,1,4,5,6,12,30,36,42,43,50,67|4,5,6,8,10,11,13,20,31,35,37,38,39,42,45,48,51,52,53,65,68,-1,4,5,6,9,13,32,37,43,45,52,68"
F_10,SA-new operators (tuned weights),1565.7,1471.0,52.9,0.464,"0,8,7,4,2,10,0|3,9,6,-1,5,1|2,4,5,-1,3,4|4,5,6,-1,4,5"
F_20,SA-new operators (tuned weights),4064.3,3574.0,64.9,0.590,"0,8,7,16,1,5,4,9,17,19,20,0|15,14,18,10,2,13,-1,6,3,11,12|2,4,5,6,8,10,-1,3,5,7,8|4,5,6,8,9,11,-1,5,7,8,9"
